Acacia Boat, minecraft:acacia_boat, 447;
Dried Kelp Block, minecraft:dried_kelp_block,  ;
Dropper, minecraft:dropper, 158;
Drowned Spawn Egg, minecraft:drowned_spawn_egg,  ;
Egg, minecraft:egg, 344;
Elder Guardian Spawn Egg, minecraft:elder_guardian_spawn_egg,  ;
Elytra, minecraft:elytra, 443;
Emerald, minecraft:emerald, 388;
Block of Emerald, minecraft:emerald_block, 133;
Emerald Ore, minecraft:emerald_ore, 129;
Enchanted Book, minecraft:enchanted_book, 403;
Enchanted Golden Apple, minecraft:enchanted_golden_apple, 466;
Enchanting Table, minecraft:enchanting_table, 116;
End Crystal, minecraft:end_crystal, 426;
End Portal Frame, minecraft:end_portal_frame, 120;
End Rod, minecraft:end_rod, 198;
End Stone, minecraft:end_stone, 121;
End Stone Brick Slab, minecraft:end_stone_brick_slab,  ;
End Stone Brick Stairs, minecraft:end_stone_brick_stairs,  ;
End Stone Brick Wall, minecraft:end_stone_brick_wall,  ;
End Stone Bricks, minecraft:end_stone_bricks, 206;
Ender Chest, minecraft:ender_chest, 130;
Eye of Ender, minecraft:ender_eye, 381;
Ender Pearl, minecraft:ender_pearl, 368;
Enderman Spawn Egg, minecraft:enderman_spawn_egg,  ;
Endermite Spawn Egg, minecraft:endermite_spawn_egg,  ;
Evoker Spawn Egg, minecraft:evoker_spawn_egg,  ;
Bottle o'Enchanting, minecraft:experience_bottle, 384;
Farmland, minecraft:farmland, 60;
Feather, minecraft:feather, 288;
Fermented Spider Eye, minecraft:fermented_spider_eye, 376;
Fern, minecraft:fern,  ;
Fire Charge, minecraft:fire_charge, 385;
Fire Coral, minecraft:fire_coral,  ;
Fire Coral Block, minecraft:fire_coral_block,  ;
Fire Coral Fan, minecraft:fire_coral_fan,  ;
Firework Rocket, minecraft:firework_rocket, 401;
Fishing Rod, minecraft:fishing_rod, 346;
Fletching Table, minecraft:fletching_table,  ;
Flint, minecraft:flint, 318;
Flint and Steel, minecraft:flint_and_steel, 259;
Flower Charge Banner Pattern, minecraft:flower_banner_pattern,  ;
Flower Pot, minecraft:flower_pot, 390;
Fox Spawn Egg, minecraft:fox_spawn_egg,  ;
Furnace, minecraft:furnace, 61;
Minecart with Furnace, minecraft:furnace_minecart, 343;
Ghast Spawn Egg, minecraft:ghast_spawn_egg,  ;
Ghast Tear, minecraft:ghast_tear, 370;
Gilded Blackstone, minecraft:gilded_blackstone,  ;
Glass, minecraft:glass, 20;
Glass Bottle, minecraft:glass_bottle, 374;
Glass Pane, minecraft:glass_pane, 102;
Glistering Melon, minecraft:glistering_melon_slice, 382;
Globe Banner Pattern, minecraft:globe_banner_pattern,  ;
Glowstone, minecraft:glowstone, 89;
Glowstone Dust, minecraft:glowstone_dust, 348;
Block of Gold, minecraft:gold_block, 41;
Gold Ingot, minecraft:gold_ingot, 266;
Gold Nugget, minecraft:gold_nugget, 371;
Gold Ore, minecraft:gold_ore, 14;
Golden Apple, minecraft:golden_apple, 322;
Golden Axe, minecraft:golden_axe, 286;
Golden Boots, minecraft:golden_boots, 317;
Golden Carrot, minecraft:golden_carrot, 396;
Golden Chestplate, minecraft:golden_chestplate, 315;
Golden Helmet, minecraft:golden_helmet, 314;
Golden Hoe, minecraft:golden_hoe, 294;
Gold Horse Armor, minecraft:golden_horse_armor, 418;
Golden Leggings, minecraft:golden_leggings, 316;
Golden Pickaxe, minecraft:golden_pickaxe, 285;
Golden Shovel, minecraft:golden_shovel, 284;
Golden Sword, minecraft:golden_sword, 283;
Granite, minecraft:granite,  ;
Granite Slab, minecraft:granite_slab,  ;
Granite Stairs, minecraft:granite_stairs,  ;
Granite Wall, minecraft:granite_wall,  ;
Grass, minecraft:grass,  ;
Grass Block, minecraft:grass_block, 2;
Grass Path, minecraft:grass_path, 208;
Gravel, minecraft:gravel, 13;
Gray Banner, minecraft:gray_banner,  ;
Gray Bed, minecraft:gray_bed,  ;
Gray Carpet, minecraft:gray_carpet,  ;
Gray Concrete, minecraft:gray_concrete,  ;
Gray Concrete Powder, minecraft:gray_concrete_powder,  ;
Gray Dye, minecraft:gray_dye,  ;
Gray Glazed Terracotta, minecraft:gray_glazed_terracotta, 242;
Gray Shulker Box, minecraft:gray_shulker_box, 226;
Gray Stained Glass, minecraft:gray_stained_glass,  ;
Gray Stained Glass Pane, minecraft:gray_stained_glass_pane,  ;
Gray Terracotta, minecraft:gray_terracotta,  ;
Gray Wool, minecraft:gray_wool,  ;
Green Banner, minecraft:green_banner,  ;
Green Bed, minecraft:green_bed,  ;
Green Carpet, minecraft:green_carpet,  ;
Green Concrete, minecraft:green_concrete,  ;
Green Concrete Powder, minecraft:green_concrete_powder,  ;
Green Dye, minecraft:green_dye,  ;
Green Glazed Terracotta, minecraft:green_glazed_terracotta, 248;
Green Shulker Box, minecraft:green_shulker_box, 232;
Green Stained Glass, minecraft:green_stained_glass,  ;
Green Stained Glass Pane, minecraft:green_stained_glass_pane,  ;
Green Terracotta, minecraft:green_terracotta,  ;
Green Wool, minecraft:green_wool,  ;
Grindstone, minecraft:grindstone,  ;
Guardian Spawn Egg, minecraft:guardian_spawn_egg,  ;
Gunpowder, minecraft:gunpowder, 289;
Hay Bale, minecraft:hay_block, 170;
Heart of the Sea, minecraft:heart_of_the_sea,  ;
Heavy Weighted Pressure Plate, minecraft:heavy_weighted_pressure_plate, 148;
Hoglin Spawn Egg, minecraft:hoglin_spawn_egg,  ;
Honey Block, minecraft:honey_block,  ;
Honey Bottle, minecraft:honey_bottle,  ;
Honeycomb, minecraft:honeycomb,  ;
Honeycomb Block, minecraft:honeycomb_block,  ;
Hopper, minecraft:hopper, 154;
Minecart with Hopper, minecraft:hopper_minecart, 408;
Horn Coral, minecraft:horn_coral,  ;
Horn Coral Block, minecraft:horn_coral_block,  ;
Horn Coral Fan, minecraft:horn_coral_fan,  ;
Horse Spawn Egg, minecraft:horse_spawn_egg,  ;
Husk Spawn Egg, minecraft:husk_spawn_egg,  ;
Ice, minecraft:ice, 79;
Infested Chiseled Stone Bricks, minecraft:infested_chiseled_stone_bricks,  ;
Infested Cobblestone, minecraft:infested_cobblestone,  ;
Infested Cracked Stone Bricks, minecraft:infested_cracked_stone_bricks,  ;
Infested Mossy Stone Bricks, minecraft:infested_mossy_stone_bricks,  ;
Infested Stone, minecraft:infested_stone,  ;
Infested Stone Bricks, minecraft:infested_stone_bricks,  ;
Ink Sac, minecraft:ink_sac,  ;
Iron Axe, minecraft:iron_axe, 258;
Iron Bars, minecraft:iron_bars, 101;
Block of Iron, minecraft:iron_block, 42;
Iron Boots, minecraft:iron_boots, 309;
Iron Chestplate, minecraft:iron_chestplate, 307;
Iron Door, minecraft:iron_door, 330;
Iron Helmet, minecraft:iron_helmet, 306;
Iron Hoe, minecraft:iron_hoe, 292;
Iron Horse Armor, minecraft:iron_horse_armor, 417;
Iron Ingot, minecraft:iron_ingot, 265;
Iron Leggings, minecraft:iron_leggings, 308;
Iron Nugget, minecraft:iron_nugget, 452;
Iron Ore, minecraft:iron_ore, 15;
Iron Pickaxe, minecraft:iron_pickaxe, 257;
Iron Shovel, minecraft:iron_shovel, 256;
Iron Sword, minecraft:iron_sword, 267;
Iron Trapdoor, minecraft:iron_trapdoor, 167;
Item Frame, minecraft:item_frame, 389;
Jack o'Lantern, minecraft:jack_o_lantern, 91;
Jukebox, minecraft:jukebox, 84;
Jungle Boat, minecraft:jungle_boat, 446;
Jungle Button, minecraft:jungle_button,  ;
Jungle Door, minecraft:jungle_door, 429;
Jungle Fence, minecraft:jungle_fence, 190;
Jungle Fence Gate, minecraft:jungle_fence_gate, 185;
Jungle Leaves, minecraft:jungle_leaves,  ;
Jungle Log, minecraft:jungle_log,  ;
Jungle Planks, minecraft:jungle_planks,  ;
Jungle Pressure Plate, minecraft:jungle_pressure_plate,  ;
Jungle Sapling, minecraft:jungle_sapling,  ;
Jungle Sign, minecraft:jungle_sign,  ;
Jungle Wood Slab, minecraft:jungle_slab,  ;
Jungle Wood Stairs, minecraft:jungle_stairs, 136;
Jungle Trapdoor, minecraft:jungle_trapdoor,  ;
Jungle Wood with Bark, minecraft:jungle_wood,  ;
Kelp, minecraft:kelp,  ;
Ladder, minecraft:ladder, 65;
Lantern, minecraft:lantern,  ;
Lapis Lazuli Block, minecraft:lapis_block, 22;
Lapis Lazuli, minecraft:lapis_lazuli,  ;
Lapis Lazuli Ore, minecraft:lapis_ore, 21;
Large Fern, minecraft:large_fern,  ;
Lava, minecraft:lava,  ;
Lava Bucket, minecraft:lava_bucket, 327;
Lead, minecraft:lead, 420;
Leather, minecraft:leather, 334;
Leather Boots, minecraft:leather_boots, 301;
Leather Tunic, minecraft:leather_chestplate, 299;
Leather Cap, minecraft:leather_helmet, 298;
Leather Horse Armor, minecraft:leather_horse_armor,  ;
Leather Pants, minecraft:leather_leggings, 300;
Lecturn, minecraft:lectern,  ;
Lever, minecraft:lever, 69;
Light Blue Banner, minecraft:light_blue_banner,  ;
Light Blue Bed, minecraft:light_blue_bed,  ;
Light Blue Carpet, minecraft:light_blue_carpet,  ;
Light Blue Concrete, minecraft:light_blue_concrete,  ;
Light Blue Concrete Powder, minecraft:light_blue_concrete_powder,  ;
Light Blue Dye, minecraft:light_blue_dye,  ;
Light Blue Glazed Terracotta, minecraft:light_blue_glazed_terracotta, 238;
Light Blue Shulker Box, minecraft:light_blue_shulker_box, 222;
Light Blue Stained Glass, minecraft:light_blue_stained_glass,  ;
Light Blue Stained Glass Pane, minecraft:light_blue_stained_glass_pane,  ;
Light Blue Terracotta, minecraft:light_blue_terracotta,  ;
Light Blue Wool, minecraft:light_blue_wool,  ;
Light Gray Banner, minecraft:light_gray_banner,  ;
Light Gray Bed, minecraft:light_gray_bed,  ;
Light Gray Carpet, minecraft:light_gray_carpet,  ;
Light Gray Concrete, minecraft:light_gray_concrete,  ;
Light Gray Concrete Powder, minecraft:light_gray_concrete_powder,  ;
Light Gray Dye, minecraft:light_gray_dye,  ;
Light Gray Glazed Terracotta, minecraft:light_gray_glazed_terracotta,  ;
Light Gray Shulker Box, minecraft:light_gray_shulker_box,  ;
Light Gray Stained Glass, minecraft:light_gray_stained_glass,  ;
Light Gray Stained Glass Pane, minecraft:light_gray_stained_glass_pane,  ;
Light Gray Terracotta, minecraft:light_gray_terracotta,  ;
Light Gray Wool, minecraft:light_gray_wool,  ;
Light Weighted Pressure Plate, minecraft:light_weighted_pressure_plate, 147;
Lilac, minecraft:lilac,  ;
Lily of the Valley, minecraft:lily_of_the_valley,  ;
Lily Pad, minecraft:lily_pad, 111;
Lime Banner, minecraft:lime_banner,  ;
Lime Bed, minecraft:lime_bed,  ;
Lime Carpet, minecraft:lime_carpet,  ;
Lime Concrete, minecraft:lime_concrete,  ;
Lime Concrete Powder, minecraft:lime_concrete_powder,  ;
Lime Dye, minecraft:lime_dye,  ;
Lime Glazed Terracotta, minecraft:lime_glazed_terracotta, 240;
Lime Shulker Box, minecraft:lime_shulker_box, 224;
Lime Stained Glass, minecraft:lime_stained_glass,  ;
Lime Stained Glass Pane, minecraft:lime_stained_glass_pane,  ;
Lime Terracotta, minecraft:lime_terracotta,  ;
Lime Wool, minecraft:lime_wool,  ;
Lingering Potion of Fire Resistance (0:45), minecraft:lingering_potion, 441;
Lingering Potion of Fire Resistance (2:00), minecraft:lingering_potion, 441;
Lingering Potion of Harming (Instant Damage II), minecraft:lingering_potion, 441;
Lingering Potion of Harming (Instant Damage), minecraft:lingering_potion, 441;
Lingering Potion of Healing (Instant Health II), minecraft:lingering_potion, 441;
Lingering Potion of Healing (Instant Health), minecraft:lingering_potion, 441;
Lingering Potion of Invisibility (0:45), minecraft:lingering_potion, 441;
Lingering Potion of Invisibility (2:00), minecraft:lingering_potion, 441;
Lingering Potion of Leaping (0:22 - Jump Boost II), minecraft:lingering_potion, 441;
Lingering Potion of Leaping (0:45 - Jump Boost), minecraft:lingering_potion, 441;
Lingering Potion of Leaping (2:00 - Jump Boost), minecraft:lingering_potion, 441;
Lingering Potion of Luck (1:15), minecraft:lingering_potion, 441;
Lingering Potion of Night Vision (0:45), minecraft:lingering_potion, 441;
Lingering Potion of Night Vision (2:00), minecraft:lingering_potion, 441;
Lingering Potion of Poison (0:05 - Poison II), minecraft:lingering_potion, 441;
Lingering Potion of Poison (0:11), minecraft:lingering_potion, 441;
Lingering Potion of Poison (0:22), minecraft:lingering_potion, 441;
Lingering Potion of Regeneration (0:05 - Regeneration II), minecraft:lingering_potion, 441;
Lingering Potion of Regeneration (0:11), minecraft:lingering_potion, 441;
Lingering Potion of Regeneration (0:22), minecraft:lingering_potion, 441;
Lingering Potion of Slow Falling (0:22), minecraft:lingering_potion, 441;
Lingering Potion of Slow Falling (1:00), minecraft:lingering_potion, 441;
Lingering Potion of Slowness (0:02 - Slowness V), minecraft:lingering_potion, 441;
Lingering Potion of Slowness (0:22), minecraft:lingering_potion, 441;
Lingering Potion of Slowness (1:00), minecraft:lingering_potion, 441;
Lingering Potion of Strength (0:22 - Strength II), minecraft:lingering_potion, 441;
Lingering Potion of Strength (0:45), minecraft:lingering_potion, 441;
Lingering Potion of Strength (2:00), minecraft:lingering_potion, 441;
Lingering Potion of Swiftness (0:22 - Speed II), minecraft:lingering_potion, 441;
Lingering Potion of Swiftness (0:45 - Speed), minecraft:lingering_potion, 441;
Lingering Potion of Swiftness (2:00 - Speed), minecraft:lingering_potion, 441;
Lingering Potion of Water Breathing (0:45), minecraft:lingering_potion, 441;
Lingering Potion of Water Breathing (2:00), minecraft:lingering_potion, 441;
Lingering Potion of Weakness (0:22), minecraft:lingering_potion, 441;
Lingering Potion of Weakness (1:00), minecraft:lingering_potion, 441;
